Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
Algumas,1
palavras,1
para,1
testar,1
se,1
o,1
codigo,1
funciona,1
Como,1
C,1
trabalha,1
com,1
USASCII,1
a,1
acentuacao,1
nao,1
funciona,1
